2024-12-12 07:32:38.002 [info] Extension host with pid 932 started
2024-12-12 07:32:38.003 [error] Error: EEXIST: file already exists, open '/home/ubuntu/.vscode-server/data/User/workspaceStorage/2fd71a87753771d234898f00d04e4014/vscode.lock'
2024-12-12 07:32:38.024 [info] Lock '/home/ubuntu/.vscode-server/data/User/workspaceStorage/2fd71a87753771d234898f00d04e4014/vscode.lock': Could not acquire lock, checking if the file is stale.
2024-12-12 07:32:38.060 [info] Lock '/home/ubuntu/.vscode-server/data/User/workspaceStorage/2fd71a87753771d234898f00d04e4014/vscode.lock': The pid 1497 appears to be gone.
2024-12-12 07:32:38.061 [info] Lock '/home/ubuntu/.vscode-server/data/User/workspaceStorage/2fd71a87753771d234898f00d04e4014/vscode.lock': Deleting a stale lock.
2024-12-12 07:32:38.096 [info] Lock '/home/ubuntu/.vscode-server/data/User/workspaceStorage/2fd71a87753771d234898f00d04e4014/vscode.lock': Lock acquired.
2024-12-12 07:32:38.153 [info] ExtensionService#_doActivateExtension vscode.git-base, startup: false, activationEvent: '*', root cause: vscode.git
2024-12-12 07:32:38.231 [info] ExtensionService#_doActivateExtension vscode.git, startup: false, activationEvent: '*'
2024-12-12 07:32:38.231 [info] ExtensionService#_doActivateExtension vscode.github, startup: false, activationEvent: '*'
2024-12-12 07:32:38.672 [info] Eager extensions activated
2024-12-12 07:32:38.672 [info] ExtensionService#_doActivateExtension vscode.debug-auto-launch, startup: false, activationEvent: 'onStartupFinished'
2024-12-12 07:32:38.673 [info] ExtensionService#_doActivateExtension vscode.merge-conflict, startup: false, activationEvent: 'onStartupFinished'
2024-12-12 07:37:01.333 [info] ExtensionService#_doActivateExtension vscode.emmet, startup: false, activationEvent: 'onLanguage'
2024-12-12 07:45:48.437 [info] ExtensionService#_doActivateExtension vscode.tunnel-forwarding, startup: false, activationEvent: 'onTunnel'
2024-12-12 07:46:52.227 [info] ExtensionService#_doActivateExtension vscode.npm, startup: false, activationEvent: 'onTerminalQuickFixRequest:ms-vscode.npm-command'
2024-12-12 07:46:57.721 [info] ExtensionService#_doActivateExtension vscode.configuration-editing, startup: false, activationEvent: 'onLanguage:json'
2024-12-12 07:46:57.721 [info] ExtensionService#_doActivateExtension vscode.extension-editing, startup: false, activationEvent: 'onLanguage:json'
2024-12-12 07:46:57.722 [info] ExtensionService#_doActivateExtension vscode.json-language-features, startup: false, activationEvent: 'onLanguage:json'
