2024-12-12 10:44:31.721 [info] Extension host with pid 1056 started
2024-12-12 10:44:31.746 [info] Lock '/home/ubuntu/.vscode-server/data/User/workspaceStorage/3b6d1982e85903a1e5a52e541c95f98f/vscode.lock': Lock acquired.
2024-12-12 10:44:32.072 [info] Eager extensions activated
2024-12-12 10:44:33.841 [info] ExtensionService#_doActivateExtension vscode.debug-auto-launch, startup: false, activationEvent: 'onStartupFinished'
2024-12-12 10:44:33.843 [info] ExtensionService#_doActivateExtension vscode.git-base, startup: false, activationEvent: '*', root cause: vscode.git
2024-12-12 10:44:33.844 [info] ExtensionService#_doActivateExtension vscode.merge-conflict, startup: false, activationEvent: 'onStartupFinished'
2024-12-12 10:44:34.034 [info] ExtensionService#_doActivateExtension vscode.git, startup: false, activationEvent: '*'
2024-12-12 10:44:34.034 [info] ExtensionService#_doActivateExtension vscode.github, startup: false, activationEvent: '*'
2024-12-12 10:44:34.287 [info] ExtensionService#_doActivateExtension vscode.npm, startup: false, activationEvent: 'workspaceContains:package.json'
2024-12-12 10:44:34.752 [info] ExtensionService#_doActivateExtension vscode.emmet, startup: false, activationEvent: 'onLanguage'
2024-12-12 10:44:40.098 [info] ExtensionService#_doActivateExtension vscode.configuration-editing, startup: false, activationEvent: 'onLanguage:json'
2024-12-12 10:44:40.098 [info] ExtensionService#_doActivateExtension vscode.extension-editing, startup: false, activationEvent: 'onLanguage:json'
2024-12-12 10:44:40.098 [info] ExtensionService#_doActivateExtension vscode.json-language-features, startup: false, activationEvent: 'onLanguage:json'
2024-12-12 10:48:50.649 [info] ExtensionService#_doActivateExtension vscode.tunnel-forwarding, startup: false, activationEvent: 'onTunnel'
2024-12-12 11:13:53.967 [info] ExtensionService#_doActivateExtension vscode.typescript-language-features, startup: false, activationEvent: 'onLanguage:javascript'
2024-12-12 11:15:48.603 [info] ExtensionService#_doActivateExtension vscode.html-language-features, startup: false, activationEvent: 'onLanguage:html'
2024-12-12 11:17:11.670 [info] ExtensionService#_doActivateExtension vscode.css-language-features, startup: false, activationEvent: 'onLanguage:css'
